eng_rpm, eng_torque, eng_nominalTorque,
0.000000, 0.000000, 0.000000,
0.000003, 0.000000, 0.000000,
0.000001, -0.000000, -0.000000,
0.000004, 0.000014, -0.000000,
0.000003, -0.000008, -0.000000,
0.000003, 0.000011, -0.000000,
0.000003, -0.000002, -0.000000,
0.000003, -0.000001, -0.000000,
0.000003, -0.000000, -0.000000,
0.000003, 0.000001, -0.000000,
0.000002, 0.000001, -0.000000,
0.000001, 0.000000, -0.000000,
0.000001, -0.000007, -0.000000,
0.000001, -0.000003, -0.000000,
0.000002, -0.000002, -0.000000,
0.000002, 0.000001, -0.000000,
0.000002, 0.000001, -0.000000,
0.000002, 0.000001, -0.000000,
0.000002, 0.000001, -0.000000,
0.000002, 0.000001, -0.000000,
0.000002, 0.000000, -0.000000,
0.000002, 0.000000, -0.000000,
0.000002, 0.000000, -0.000000,
0.000002, 0.000000, -0.000000,
0.000004, 0.000000, -0.000000,
0.000005, -0.000000, -0.000000,
0.000004, 0.000008, -0.000000,
0.000004, 0.000004, -0.000000,
0.000004, -0.000004, -0.000000,
0.000003, -0.000001, -0.000000,
0.000002, -0.000001, -0.000000,
-0.000000, -0.000001, -0.000000,
-0.000002, -0.000008, -0.000000,
-0.000004, -0.000008, -0.000000,
-0.000005, -0.000008, -0.000000,
-0.000008, -0.000008, -0.000000,
-0.000009, -0.000008, -0.000000,
-0.000009, -0.000014, -0.000000,
-0.000010, -0.000003, -0.000000,
-0.000010, -0.000003, -0.000000,
-0.000011, -0.000003, -0.000000,
-0.000011, -0.000002, -0.000000,
-0.000012, -0.000002, -0.000000,
-6.631382, -0.000002, -0.000000,
-9.342255, 0.044790, -0.000000,
-7.990161, -29.815565, -0.000005,
-6.075898, -14.781899, -0.000009,
2.681158, -393.541809, -0.000281,
3.786857, -414.015625, -0.002031,
114.592842, 114.759567, -0.002430,
85.991814, -3733.875977, -0.057533,
59.959743, 920.201416, -0.026647,
36.992386, 497.272644, -0.009003,
16.820976, 327.738953, -0.001321,
0.017063, 178.874237, -0.000180,
-3.297539, 50.013542, -0.002795,
-6.294762, -16.698561, -0.002692,
-9.083721, -16.144789, -0.002520,
-11.613719, -15.833405, -0.002358,
-13.864746, -14.798237, -0.002210,
-3.068955, -13.514721, -0.002075,
-5.001221, 3.767034, -0.000035,
-6.643505, -10.282492, -0.000028,
-8.058325, -9.579666, -0.000022,
-9.268584, -8.331504, -0.000017,
-10.296294, -7.170997, -0.000013,
-11.163177, -6.141912, -0.000011,
-11.890068, -5.210253, -0.000008,
-0.017960, -4.400727, -0.000007,
-0.556580, 11.801630, -0.001229,
-1.156211, -2.464440, -0.001239,
-1.689027, -2.819653, -0.001216,
-2.172472, -2.397652, -0.001192,
-2.624028, -2.061498, -0.001167,
-3.059063, -1.812289, -0.001142,
-3.493385, -1.652663, -0.001117,
-3.940679, -1.571030, -0.001092,
-4.414820, -1.562460, -0.001067,
-4.927578, -1.629070, -0.001044,
-0.601202, -1.756073, -0.001021,
9.703783, -1.952842, -0.002157,
24.209909, -748.530396, -0.005640,
27.575953, -725.910522, -0.013666,
24.074734, -779.332642, -0.015636,
13.091350, -230.562744, -0.012539,
3.833357, -23.074614, -0.005756,
7.815974, -221.353241, -0.002003,
5.689524, -33.273735, -0.002822,
1.999059, 247.076874, -0.001829,
0.745647, 213.367493, -0.000759,
0.623059, 83.946594, -0.000390,
-0.236020, 75.869614, -0.000238,
-1.481576, 123.380257, -0.000079,
-2.297829, 121.917519, -0.000002,
-2.754029, 93.196648, -0.000023,
-3.209598, 80.505890, -0.000093,
-3.701180, 81.530807, -0.000204,
-4.091158, 77.645386, -0.000353,
-4.352641, 67.150322, -0.000516,
-4.547931, 57.494804, -0.000675,
-4.714560, 50.978554, -0.000827,
-4.839580, 45.076309, -0.000970,
-4.905251, 37.751652, -0.001095,
-4.923844, 29.919779, -0.001194,
-4.909117, 23.166498, -0.001266,
-4.859075, 16.578674, -0.001310,
-4.775491, 10.184189, -0.001327,
-4.697430, 3.756508, -0.001316,
-4.587855, -0.103602, -0.001287,
-4.430719, -6.224775, -0.001235,
-4.253382, -12.735411, -0.001159,
-4.122220, -16.055862, -0.001067,
-3.949387, -17.603430, -0.000976,
-3.703663, -23.932295, -0.000873,
-3.411722, -29.993277, -0.000755,
-3.145086, -34.169548, -0.000633,
-2.887968, -33.520287, -0.000521,
-2.576521, -36.038017, -0.000418,
-2.213386, -40.515030, -0.000319,
-1.825892, -43.531139, -0.000228,
-1.423069, -45.013115, -0.000151,
-1.031733, -46.123718, -0.000088,
-0.654280, -45.092072, -0.000044,
-0.289650, -43.719688, -0.000015,
0.078361, -42.972824, -0.000002,
0.445313, -42.225533, -0.000002,
0.801428, -41.144394, -0.000013,
1.125906, -38.884140, -0.000035,
1.422069, -35.665592, -0.000065,
1.695149, -33.022850, -0.000098,
1.928636, -29.856277, -0.000135,
2.123546, -25.881527, -0.000171,
2.281637, -22.333836, -0.000204,
2.390749, -18.243549, -0.000232,
2.458388, -13.829758, -0.000254,
2.489372, -10.068633, -0.000268,
2.475405, -6.128186, -0.000275,
2.418291, -1.925494, -0.000274,
2.322871, 1.950155, -0.000265,
2.193286, 5.605269, -0.000250,
2.042576, 8.817699, -0.000229,
1.873066, 11.448391, -0.000205,
1.690584, 13.705489, -0.000178,
1.500722, 15.154644, -0.000151,
1.286240, 17.116985, -0.000124,
1.054111, 19.359303, -0.000098,
0.810697, 20.904392, -0.000073,
0.561475, 22.207550, -0.000051,
0.313480, 22.759117, -0.000033,
0.062445, 23.274471, -0.000018,
-0.172775, 23.621010, -0.000008,
-0.398996, 22.693466, -0.000002,
-0.609642, 22.563274, -0.000000,
-0.804794, 21.272989, -0.000001,
-0.993098, 20.467611, -0.000006,
32.582672, 19.765482, 2324.343262,
41.017921, 1077.949341, 2324.333740,
50.004639, 1213.718750, 2324.328369,
63.191319, 1168.207886, 2324.321045,
79.809135, 885.495117, 2324.307617,
95.286537, 806.546753, 2324.286377,
109.162743, 912.592285, 2324.261963,
123.308990, 959.497803, 2324.236328,
138.194839, 919.165527, 2324.206543,
153.085342, 891.284546, 2324.171143,
167.672104, 903.007019, 2324.131836,
182.233505, 914.664795, 2324.089111,
196.934708, 909.411987, 2324.042725,
211.674728, 902.083435, 2323.991943,
226.368637, 902.174927, 2323.936768,
241.053680, 903.779419, 2323.877930,
255.759125, 902.658813, 2323.814941,
270.476868, 901.222168, 2323.748047,
285.196716, 900.159058, 2323.676758,
299.907898, 900.114197, 2323.601563,
314.621002, 900.008301, 2323.522461,
329.333160, 899.570068, 2323.439209,
344.041809, 899.573242, 2323.351807,
358.748962, 899.437012, 2323.260498,
373.448059, 899.567993, 2323.165283,
388.138519, 899.933838, 2323.065918,
402.817200, 900.391113, 2322.962891,
417.483673, 901.126892, 2322.855713,
432.140747, 901.697083, 2322.744629,
446.783691, 902.357666, 2322.629639,
461.408234, 903.284424, 2322.510986,
476.013519, 904.479675, 2322.388428,
490.601410, 905.558655, 2322.262207,
505.165619, 906.701477, 2322.132324,
519.718628, 908.299805, 2322.865234,
534.288696, 909.871277, 2325.749512,
548.845276, 912.950012, 2328.631836,
563.391968, 917.143677, 2331.506104,
577.943420, 920.452271, 2334.373047,
592.492004, 923.437622, 2337.235840,
607.029419, 927.021240, 2340.092529,
621.556885, 930.779907, 2342.942139,
636.075928, 934.407715, 2345.784424,
650.585022, 937.940308, 2348.619873,
665.078125, 941.623169, 2351.448730,
679.554138, 945.647949, 2354.269531,
694.016724, 949.389465, 2357.082275,
708.462891, 953.170715, 2359.887939,
722.889526, 956.909851, 2362.685303,
737.293457, 961.072632, 2365.475098,
751.679443, 964.875610, 2368.256104,
766.040161, 968.849182, 2371.029297,
780.377014, 972.915894, 2373.793701,
794.687988, 976.962280, 2376.549561,
808.972900, 981.009766, 2379.296875,
823.231140, 985.128052, 2382.035156,
837.464722, 989.091309, 2384.764648,
851.668335, 993.042786, 2387.486084,
865.839966, 997.384033, 2390.198242,
879.984375, 1001.459229, 2392.901123,
894.098755, 1005.516724, 2395.595459,
908.182861, 1009.582092, 2398.281006,
922.237122, 1013.772095, 2400.957275,
936.265625, 1017.661743, 2403.625000,
950.263489, 1021.591675, 2406.284668,
964.231689, 1025.727417, 2408.935547,
978.173706, 1029.657471, 2411.577881,
992.091675, 1033.505127, 2414.212158,
1005.987976, 1037.119019, 2416.838867,
1019.861450, 1040.808350, 2419.458740,
1033.718018, 1044.380615, 2422.071045,
1047.558838, 1047.678589, 2424.677246,
1061.384155, 1051.050171, 2427.277344,
1075.200684, 1054.253296, 2429.871582,
1089.014771, 1057.122559, 2432.461182,
1102.827759, 1059.661743, 2435.047119,
1116.642578, 1062.404785, 2437.629639,
1130.471313, 1064.492432, 2440.209229,
1144.312378, 1066.491211, 2442.788330,
1158.174194, 1068.231445, 2445.366455,
1172.060303, 1069.794312, 2447.944824,
1185.981812, 1070.949707, 2450.524414,
1199.943604, 1071.680786, 2453.107178,
1213.951660, 1072.166626, 2455.693604,
1228.011719, 1072.370850, 2458.285156,
1242.130981, 1072.277588, 2460.882568,
1256.314087, 1071.841309, 2463.487305,
1270.569214, 1071.249023, 2466.099609,
1284.908569, 1069.958862, 2468.721680,
1299.332031, 1068.414429, 2471.354980,
1313.845581, 1066.787231, 2474.000000,
1328.453369, 1064.826050, 2476.657227,
1343.161621, 1062.798340, 2479.327637,
1357.981445, 1060.154541, 2482.012207,
1372.913208, 1057.184570, 2484.712891,
1387.955078, 1054.289429, 2487.429443,
1403.103882, 1051.511597, 2490.162109,
1418.365234, 1048.906738, 2492.909424,
1433.752197, 1045.662354, 2495.672607,
1449.259399, 1041.931641, 2498.454346,
1464.873535, 1038.961914, 2501.252930,
1480.596069, 1036.358887, 2504.066406,
1496.429443, 1033.541504, 2506.894775,
1512.369019, 1030.728760, 2509.738281,
1528.409790, 1028.215942, 2512.596191,
1544.543335, 1025.920532, 2515.467529,
1560.760254, 1024.246582, 2518.350586,
1577.056885, 1022.798645, 2521.243652,
1593.421509, 1021.634705, 2524.146240,
1609.847412, 1021.238892, 2527.056152,
1626.328735, 1020.746704, 2529.971680,
1642.847778, 1021.097168, 2532.892334,
1659.392822, 1022.042847, 2535.814941,
1675.951050, 1023.830566, 2538.737305,
1692.517212, 1025.880615, 2541.656982,
1709.079590, 1028.450928, 2544.573242,
1725.628906, 1031.427490, 2547.483887,
1742.141968, 1035.104614, 2550.387451,
1758.608887, 1040.186279, 2553.279785,
1775.029541, 1044.864746, 2556.159424,
1791.380615, 1050.543457, 2559.026367,
1807.663696, 1056.724854, 2561.876221,
1823.865601, 1062.977417, 2564.709717,
1839.972290, 1070.162842, 2567.524170,
1855.981812, 1077.748047, 2570.317871,
1871.893677, 1085.431396, 2573.089844,
1887.706421, 1093.040527, 2575.840576,
1903.411621, 1100.930176, 2578.569824,
1919.007202, 1109.255127, 2581.276123,
1934.502686, 1117.492676, 2583.959229,
1949.910522, 1124.962646, 2586.620361,
1965.227417, 1132.232910, 2589.262695,
1980.461792, 1139.600586, 2591.884521,
1995.628784, 1146.361816, 2594.488281,
2010.745117, 1152.286377, 2597.076172,
2025.830688, 1157.381958, 2599.651123,
2040.905396, 1161.383301, 2602.216064,
2055.981201, 1164.535156, 2604.775146,
2071.075684, 1167.208740, 2607.330078,
2086.295898, 1168.631592, 2609.883789,
2101.913818, 1164.539307, 2612.454102,
2117.908936, 1146.729492, 2615.086914,
2134.255615, 1130.040771, 2617.778564,
2150.924072, 1114.741577, 2620.524414,
2167.879639, 1101.070190, 2623.319092,
2185.084717, 1089.227539, 2626.156250,
2202.499268, 1079.368896, 2629.029297,
2220.079346, 1071.647705, 2631.931641,
2237.780273, 1066.182495, 2634.855225,
2255.554443, 1063.074707, 2637.792725,
2273.353271, 1062.401489, 2640.736328,
2291.127686, 1064.225098, 2643.677490,
2308.827148, 1068.604858, 2646.608398,
2326.400391, 1075.528564, 2649.520996,
2343.798828, 1085.013550, 2652.406250,
2360.974121, 1097.011597, 2655.257080,
2377.880859, 1111.413330, 2658.065186,
2394.477295, 1128.080566, 2660.824219,
2410.727539, 1146.811279, 2663.527100,
2426.602539, 1167.300781, 2666.168213,
2442.083496, 1189.166016, 2668.744141,
2457.162109, 1211.927124, 2671.251465,
2471.907715, 1234.960205, 2673.689941,
2488.284180, 1245.145142, 2676.070557,
2506.544189, 1120.497314, 2678.713623,
2524.395752, 1067.270386, 2681.657959,
2541.148682, 1124.107178, 2684.531006,
2557.700928, 1170.840820, 2687.221436,
2574.534912, 1166.058350, 2689.875488,
2591.327393, 1156.070313, 2692.570557,
2607.767090, 1169.496094, 2695.254395,
2623.944092, 1191.424316, 2697.876953,
2640.067383, 1202.825684, 2700.453369,
2656.161133, 1206.192871, 2703.016602,
2672.159180, 1211.747314, 2705.570801,
2688.056885, 1220.384033, 2708.104980,
2704.349365, 1227.665283, 2710.618896,
2721.207275, 1208.701660, 2713.190430,
2738.616211, 1182.183105, 2715.845947,
2756.544189, 1156.592896, 2718.582520,
2774.949463, 1132.717529, 2721.394775,
2793.777832, 1111.172241, 2724.275146,
2812.968262, 1092.497559, 2727.214600,
2832.452637, 1077.081543, 2730.203125,
2852.157227, 1065.263428, 2733.229492,
2872.004639, 1057.293945, 2736.282227,
2891.914551, 1053.346924, 2739.349121,
2911.803711, 1053.570557, 2742.416748,
2931.589600, 1058.039551, 2745.473145,
2951.188477, 1066.777832, 2748.505371,
2970.519775, 1079.752563, 2751.500977,
2989.506104, 1096.814697, 2754.447266,
3008.079834, 1117.756592, 2757.333984,
3026.179932, 1142.134888, 2760.150146,
3043.764648, 1169.433838, 2762.887695,
3060.811279, 1198.776611, 2765.541260,
3077.322266, 1229.148315, 2768.107666,
3093.330566, 1259.192139, 2770.587891,
3108.902100, 1287.394043, 2772.988037,
3124.135986, 1312.020630, 2775.318604,
3139.160156, 1331.430420, 2777.594971,
3154.125000, 1344.106689, 2779.836670,
3169.192139, 1348.965332, 2782.066650,
3184.520020, 1345.491699, 2784.309082,
3200.254150, 1333.825684, 2786.587891,
3216.513916, 1314.769775, 2788.923828,
3233.385498, 1289.664551, 2791.333984,
3250.922119, 1260.237183, 2793.831299,
3269.140137, 1228.274414, 2796.422119,
3288.024414, 1195.658569, 2799.108398,
3307.533691, 1163.949219, 2801.886719,
3327.604248, 1134.586792, 2804.750000,
3348.155273, 1108.667969, 2807.688232,
3369.092773, 1087.038330, 2810.688721,
3390.314209, 1070.384399, 2813.736816,
3411.708740, 1059.123779, 2816.817383,
3433.162354, 1053.607056, 2819.914063,
3454.557129, 1054.029297, 2823.009521,
3475.776611, 1060.495605, 2826.087158,
3496.704590, 1072.988281, 2829.130127,
3517.233398, 1091.360840, 2832.122070,
3537.264893, 1115.247803, 2835.048096,
3556.719727, 1144.040649, 2837.895020,
3575.545166, 1176.790161, 2840.651855,
3593.724365, 1212.076172, 2843.312012,
3611.285889, 1248.056396, 2845.874268,
3628.309570, 1282.339722, 2848.343506,
3644.928955, 1312.357422, 2850.731689,
3661.322266, 1335.321533, 2853.058105,
3677.700684, 1348.943726, 2855.349121,
3694.284424, 1351.625244, 2857.634277,
3711.279297, 1342.930664, 2859.943848,
3728.834229, 1323.651123, 2861.125000,
3746.691895, 1295.625732, 2842.475586,
3764.909912, 1261.016113, 2823.490234,
3783.490479, 1223.210449, 2804.109375,
3802.386719, 1185.029785, 2784.332764,
3821.517090, 1148.888062, 2764.210938,
3840.773438, 1116.740234, 2743.833740,
3860.028564, 1090.011963, 2723.317383,
3879.144531, 1069.749268, 2702.799072,
3897.978027, 1056.627319, 2682.427734,
3916.384277, 1051.069092, 2662.357666,
3934.220947, 1053.307739, 2642.743408,
3951.349609, 1063.358154, 2623.738770,
3967.646240, 1081.060791, 2605.490967,
3983.002930, 1105.954346, 2588.134277,
3997.341553, 1137.189697, 2571.782715,
4010.624756, 1173.394287, 2556.519287,
4022.867920, 1212.541260, 2542.383545,
4034.153809, 1251.881836, 2529.356934,
4044.633789, 1288.012085, 2517.350098,
4054.525146, 1317.209595, 2506.198242,
4064.086670, 1336.018921, 2495.667480,
4073.595703, 1341.920166, 2485.478027,
4083.302979, 1333.988770, 2475.333252,
4093.407715, 1313.133057, 2464.963867,
4104.037109, 1281.843018, 2454.157471,
4115.774902, 1243.691650, 2442.779297,
4129.394531, 1147.028076, 2430.203125,
4144.012207, 1028.624756, 2415.600098,
4158.149414, 995.008789, 2399.919922,
4171.702637, 1021.616333, 2384.756592,
4185.538574, 1022.454224, 2370.222900,
4199.921387, 980.858887, 2355.387207,
4214.456055, 943.326965, 2339.963379,
4228.889160, 928.122864, 2324.378906,
4243.323242, 917.817139, 2308.905518,
4257.821777, 898.397827, 2293.431152,
4272.208984, 881.598145, 2277.888428,
4286.351074, 874.208984, 2262.463623,
4300.208008, 872.449829, 2247.301270,
4313.799316, 870.861389, 2232.443359,
4327.077637, 868.843506, 2217.867432,
4339.941895, 871.760986, 2203.623779,
4352.396484, 879.986816, 2189.821045,
4364.541992, 884.746765, 2176.455322,
4376.403809, 886.687744, 2163.416504,
4388.003906, 887.780212, 2150.678467,
4399.376465, 889.455444, 2138.217529,
4410.631348, 887.348877, 2125.999268,
4421.859863, 880.664185, 2113.906250,
4433.144531, 868.775635, 2101.839600,
4444.499023, 854.430786, 2089.713135,
4455.977539, 839.307739, 2077.511719,
4467.641602, 819.587036, 2065.178223,
4479.434082, 798.233582, 2052.646729,
4491.299316, 781.402283, 2039.977417,
4503.239746, 764.181519, 2027.230591,
4515.192383, 748.594604, 2014.403564,
4527.089355, 735.074829, 2001.562134,
4538.823242, 727.116577, 1988.779541,
4550.365723, 722.366028, 1976.169434,
4561.639160, 719.820679, 1963.762939,
4572.587891, 722.270874, 1951.642090,
4583.235840, 726.034973, 1939.866943,
4593.579590, 728.702942, 1928.409912,
4603.599121, 733.357666, 1917.274902,
4613.353516, 738.276367, 1906.483887,
4622.909668, 739.890015, 1895.973022,
4632.318848, 738.924561, 1885.671021,
4641.656738, 735.982666, 1875.522339,
4651.003906, 728.277832, 1865.447632,
4660.381836, 717.914185, 1855.360229,
4669.850098, 706.818726, 1845.238403,
4679.480469, 690.377319, 1835.017822,
4689.255371, 672.818848, 1824.622437,
4699.145020, 654.557617, 1814.070557,
4709.079590, 640.682068, 1803.395508,
4719.079590, 626.483948, 1792.671143,
4729.025879, 612.912354, 1781.875122,
4738.833984, 607.531433, 1771.136719,
4748.520996, 602.376587, 1760.546143,
4757.990234, 598.206726, 1750.083374,
4767.166992, 600.738037, 1739.853394,
4776.073730, 604.626343, 1729.936523,
4784.705566, 608.000488, 1720.307373,
4793.064453, 612.672180, 1710.971924,
4801.208984, 616.285400, 1701.927856,
4809.173340, 617.751953, 1693.111450,
4817.042480, 618.089111, 1684.487305,
4824.863281, 612.051575, 1675.963013,
4832.652344, 609.238037, 1667.489746,
4840.566895, 598.091919, 1659.050293,
4848.540527, 585.641968, 1650.475098,
4856.624512, 573.837341, 1641.837158,
4864.847656, 559.486084, 1633.080811,
4873.204102, 542.960327, 1624.174805,
4881.596680, 528.403076, 1615.125977,
4889.942871, 519.406372, 1606.038574,
4898.207520, 513.078613, 1597.002930,
4906.383789, 508.068268, 1588.055298,
4914.398926, 502.974457, 1579.203369,
4922.181152, 505.024597, 1570.524780,
4929.778809, 506.005646, 1562.096558,
4937.125488, 507.595825, 1553.866089,
4944.175781, 513.203369, 1545.905029,
4950.981445, 521.055664, 1538.264038,
4957.730469, 522.445679, 1530.884766,
4964.431152, 516.221619, 1523.563477,
4970.989746, 514.359070, 1516.293701,
4977.512207, 514.855347, 1509.176636,
4984.145508, 506.792175, 1502.097900,
4990.872559, 493.545837, 1494.899536,
4997.648926, 483.584229, 1487.599731,
5004.519531, 474.023438, 1480.247559,
5011.553711, 460.243530, 1472.794678,
5018.701172, 443.925720, 1465.164673,
5025.753906, 432.730011, 1457.411255,
5032.673828, 434.102783, 1449.762207,
5039.553711, 428.629608, 1442.257935,
5046.295410, 425.035828, 1434.795654,
5052.880371, 424.038330, 1427.482422,
5059.189941, 425.767639, 1420.337158,
5065.223145, 435.282074, 1413.489502,
5071.192871, 437.873779, 1406.940552,
5077.026855, 433.490173, 1400.455688,
5082.654297, 437.038818, 1394.115967,
5088.156738, 441.247559, 1387.999023,
5093.657715, 439.211487, 1382.016357,
5099.222656, 432.848022, 1376.034058,
5104.915527, 422.439087, 1369.981689,
5110.647949, 410.175140, 1363.789429,
5116.388672, 406.084229, 1357.555664,
5122.300293, 395.372192, 1351.313599,
5128.290527, 380.491882, 1344.886108,
5134.229492, 372.821716, 1338.374146,
5140.143066, 370.053162, 1331.918457,
5146.057617, 361.785583, 1325.491211,
5151.850098, 357.525208, 1319.061523,
5157.447754, 357.765381, 1312.763428,
5162.820801, 363.331360, 1306.677124,
5168.022949, 366.475586, 1300.834229,
5173.089844, 369.675537, 1295.174805,
5178.066895, 368.679474, 1289.659912,
5182.909180, 369.241577, 1284.241089,
5187.635254, 370.528809, 1278.965820,
5192.257324, 371.979004, 1273.816895,
5196.924805, 371.426575, 1268.780884,
5201.758789, 360.187805, 1263.694336,
5206.629883, 348.007813, 1258.426025,
5211.487305, 344.938477, 1253.118286,
5216.471191, 337.356689, 1247.827759,
5122.196777, 325.260071, 1242.307739,
5105.079590, 5418.853516, 1345.062988,
5085.966309, 1565.472412, 1363.801147,
5064.148926, 1687.102783, 1384.714722,
5039.804688, 1847.069092, 1408.565186,
5014.251465, 2000.290527, 1435.144043,
4989.621094, 2087.835938, 1463.001953,
4967.803711, 2066.567627, 1489.810791,
4949.613281, 1947.076904, 1513.516968,
4934.814453, 1783.062012, 1533.247559,
4922.583984, 1627.684814, 1549.273682,
4911.893066, 1511.357300, 1562.499878,
4901.688965, 1445.408203, 1574.051636,
4890.942383, 1432.215088, 1585.078857,
4878.687988, 1471.547363, 1596.701050,
4864.128906, 1561.088013, 1609.965576,
4846.898926, 1693.115356, 1625.732178,
4827.433105, 1846.188110, 1644.390747,
4807.146973, 1979.308838, 1665.457275,
4787.994629, 2041.603027, 1687.386963,
4771.536133, 2003.974976, 1708.054688,
4758.364258, 1885.009644, 1725.775146,
4748.200195, 1733.087158, 1739.918091,
4740.284180, 1592.347656, 1750.796265,
4733.687500, 1487.848633, 1759.243164,
4727.446777, 1428.976807, 1766.271362,
4720.614746, 1418.422607, 1772.928955,
4712.289063, 1456.334717, 1780.243286,
4701.695801, 1541.293701, 1789.190674,
4688.400391, 1667.627686, 1800.606201,
4672.627930, 1818.492065, 1814.952881,
4655.513672, 1960.267700, 1831.976318,
4638.845703, 2045.951904, 1850.438721,
4624.303223, 2040.652588, 1868.397827,
4612.776855, 1948.563232, 1884.040039,
4604.268555, 1808.688721, 1896.410645,
